goal,scenario_instructions,url
Discuss the following scenario as if it happened to you: Robin went to Las Vegas and risked her husbands entire savings account on the roulette table.,"When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot understands common social scenarios.","http://35.202.162.13:80/dialogue/interface?run_name=commonsense_dialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=text-davinci-001,batch=1&interaction_trace_id=3ea8dad0-8440-49fc-9783-e5da1b0f0ec6&user_id=bd2eeaa0-c595-482c-a502-2d0f2e6fe6d2"
Discuss the following scenario as if it happened to you: Jordan produced a lot of money annually. Always being able to pay his bills on time.,"When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot understands common social scenarios.","http://35.202.162.13:80/dialogue/interface?run_name=commonsense_dialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=text-davinci-001,batch=1&interaction_trace_id=34d1999e-26d4-46d5-93d3-362874c8e4e8&user_id=9cad6a64-988f-4c9f-88d0-28dcee8d722d"
"Discuss the following scenario as if it happened to you: Cameron and Taylor were tossing up ice cubes and trying to catch them with their mouths, Cameron caught one.","When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot understands common social scenarios.","http://35.202.162.13:80/dialogue/interface?run_name=commonsense_dialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=text-davinci-001,batch=1&interaction_trace_id=ac85de3a-4430-4788-ac87-e06d8871bad7&user_id=b24384b6-0f83-408a-9c54-cea16a98697e"
Discuss the following scenario as if it happened to you: Cameron brought their family to his play. They were so excited to see him act.,"When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot understands common social scenarios.","http://35.202.162.13:80/dialogue/interface?run_name=commonsense_dialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=text-davinci-001,batch=1&interaction_trace_id=221c04e1-a784-4357-8db3-29a07d915326&user_id=2468147a-efb3-4624-aabe-402ec8734a0a"
Discuss the following scenario as if it happened to you: Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.,"When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot understands common social scenarios.","http://35.202.162.13:80/dialogue/interface?run_name=commonsense_dialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=text-davinci-001,batch=1&interaction_trace_id=6b5bc05f-be52-4588-8d99-a0c75683fb31&user_id=b1cb716e-64eb-446a-b2f2-012c353a7f2e"
"Discuss the following scenario as if it happened to you: Kendall couldn't afford a regular cable bill, so they often went to Sasha's house for TV. This month, Sasha wasn't able to pay their bill so Kendall covered it.","When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot understands common social scenarios.","http://35.202.162.13:80/dialogue/interface?run_name=commonsense_dialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=text-davinci-001,batch=1&interaction_trace_id=3d337a93-a5a8-4e56-859a-e1d0fd923468&user_id=e8c8a9b5-cd59-4dc4-a616-a27e4174b9d3"
Discuss the following scenario as if it happened to you: Riley is throwing a surprise party for their boss. Riley sends out an email to all the employees devising a plan and asking they keep the secret.,"When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot understands common social scenarios.","http://35.202.162.13:80/dialogue/interface?run_name=commonsense_dialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=text-davinci-001,batch=1&interaction_trace_id=acf44f7c-18e5-4641-b29b-262c51ee9aaa&user_id=07852595-7bad-4987-aaf3-5c6a10a938df"
Discuss the following scenario as if it happened to you: Tracy went to a party with Lee's friends and had a great time with the crew.,"When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot understands common social scenarios.","http://35.202.162.13:80/dialogue/interface?run_name=commonsense_dialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=text-davinci-001,batch=1&interaction_trace_id=e32ef97c-6b11-4956-b4cb-9c2dfff4ccd9&user_id=6f8c61c5-92d9-4fc4-8a2f-7340b7e90129"
Discuss the following scenario as if it happened to you: Robin and Tracy went to school together. Robin helped Tracy study.,"When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot understands common social scenarios.","http://35.202.162.13:80/dialogue/interface?run_name=commonsense_dialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=text-davinci-001,batch=1&interaction_trace_id=73821d0c-e48e-4429-b178-ff69e0445acc&user_id=e90c2024-e0d6-40f8-86c8-653c701aeac4"
"Discuss the following scenario as if it happened to you: Lee was practicing to be a clown. They really wanted to do balloon animals, so Lee got a balloon to practice with.","When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot understands common social scenarios.","http://35.202.162.13:80/dialogue/interface?run_name=commonsense_dialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=text-davinci-001,batch=1&interaction_trace_id=02e8c4af-9ab7-4a52-bf63-a50b8b68d6a5&user_id=96b13cdf-fd1f-4c8d-9a01-95933e5a1418"
