goal,scenario_instructions,url
Discuss your emotions as if you were in this situation: I felt caring when i helped an elderly lady carry her bags to her door.  She was struggling to carry some heavy bags and i offered her help.,"When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot communicates empathetically.","http://35.202.162.13:80/dialogue/interface?run_name=empatheticdialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=davinci,batch=3&interaction_trace_id=66e754ff-7bfe-4d4e-a32a-cf0da4d54d70&user_id=4f00df72-3fb3-4385-97ab-eaee3bcd8878&batch=3"
Discuss your emotions as if you were in this situation: I had just moved to Texas and my boyfriend took me to Kemah boardwalk. It made me think of times I spent vacationing back home.,"When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot communicates empathetically.","http://35.202.162.13:80/dialogue/interface?run_name=empatheticdialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=davinci,batch=3&interaction_trace_id=4af78258-6960-4863-964d-1e4ba929d60e&user_id=ed41812f-ed7b-4eef-b1d9-7b902e3699ed&batch=3"
Discuss your emotions as if you were in this situation: I locked my keys in my car about a week ago. It was 95 degrees outside and I was at the store getting groceries.,"When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot communicates empathetically.","http://35.202.162.13:80/dialogue/interface?run_name=empatheticdialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=davinci,batch=3&interaction_trace_id=60c587d8-5936-49f4-a58f-be75fffa4139&user_id=fc900e0f-6b4d-4f55-8829-53bbd65d0ae2&batch=3"
"Discuss your emotions as if you were in this situation: I was holding my son over my head, playing with him. A few seconds after doing so, a gush of throw up hit me in the face.","When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot communicates empathetically.","http://35.202.162.13:80/dialogue/interface?run_name=empatheticdialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=davinci,batch=3&interaction_trace_id=187547ef-bea3-4b2f-b74c-321c2403c673&user_id=c6421d75-0045-493b-a315-70775e949e6a&batch=3"
"Discuss your emotions as if you were in this situation: I was very happy about a time when i saw an elderly lady being helped by a younger male , its nice to see people still helping others now days.","When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot communicates empathetically.","http://35.202.162.13:80/dialogue/interface?run_name=empatheticdialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=davinci,batch=3&interaction_trace_id=45f9d908-5752-4fd4-8724-6d1b800ef851&user_id=beb3f313-a5d0-4134-8279-1a241ee51941&batch=3"
Discuss your emotions as if you were in this situation: I was very happy when my grandmother gave me a scooter,"When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot communicates empathetically.","http://35.202.162.13:80/dialogue/interface?run_name=empatheticdialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=davinci,batch=3&interaction_trace_id=7cff8e08-41cd-4794-846b-ff101348f605&user_id=fd3a8392-77fd-47a3-9a0c-714f3f47b5fd&batch=3"
"Discuss your emotions as if you were in this situation: I was walking through my hallway a few week ago, and my son was hiding under the table and grabbed my ankle. I thought i was got.","When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot communicates empathetically.","http://35.202.162.13:80/dialogue/interface?run_name=empatheticdialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=davinci,batch=3&interaction_trace_id=7a758006-4400-4110-87f2-e520d8053f4d&user_id=269b3a12-9912-46be-8679-c91ba5ffb6b0&batch=3"
Discuss your emotions as if you were in this situation: I'm overly excited today because will be flying outside the country for the first time tomorrow.,"When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot communicates empathetically.","http://35.202.162.13:80/dialogue/interface?run_name=empatheticdialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=davinci,batch=3&interaction_trace_id=e99a047e-098c-40fa-bd67-1c02d6eefc45&user_id=a070031e-c93e-4754-9abf-790b03ac4ec2&batch=3"
"Discuss your emotions as if you were in this situation: Today,as i was leaving for work in the morning,i had a tire burst in the middle of a busy road. That scared the hell out of me!","When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot communicates empathetically.","http://35.202.162.13:80/dialogue/interface?run_name=empatheticdialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=davinci,batch=3&interaction_trace_id=03bbfca2-ca2d-42b0-a323-c262a0a738d1&user_id=eeaf83c5-5268-4282-b777-1789d13229eb&batch=3"
Discuss your emotions as if you were in this situation: When my current girlfriend said yes to dating me.,"When you start the chat, you will be given a scenario to discuss. For example, you may have the scenario “I lost my keys this morning. It was very stressful.” During the conversation, please talk as though you have experienced the scenario given. For this scenario, you might say something like “I had such a stressful morning! I couldn’t find my keys anywhere.” The goal of this task is to evaluate how well the chatbot communicates empathetically.","http://35.202.162.13:80/dialogue/interface?run_name=empatheticdialogues:annotation_stage=mturk,user_initiated=True,begin=0,end=10,model=davinci,batch=3&interaction_trace_id=53d9b0ef-5b85-4f53-ae74-79536c46bb7d&user_id=f6748898-2e7c-44d1-99ec-8e5d2c7675d7&batch=3"
